alpha,TopN_Accuracy_Max,TopN_Accuracy_Avg,Margin_Sum
0.0,0.0,0.14189189189189189,-11.836408619457627
0.1,0.2702702702702703,0.14864864864864866,-10.928948780179912
0.2,0.2635135135135135,0.1554054054054054,-10.157590266430436
0.30000000000000004,0.24324324324324326,0.1554054054054054,-9.57869057096813
0.4,0.22972972972972974,0.1554054054054054,-9.199100019961818
0.5,0.25,0.18243243243243243,-8.970860884787932
0.6000000000000001,0.23648648648648649,0.1891891891891892,-9.074302328977518
0.7000000000000001,0.23648648648648649,0.16216216216216217,-9.423839602619024
0.8,0.25,0.12837837837837837,-10.016038776776163
0.9,0.21621621621621623,0.12162162162162163,-10.769233294691698
1.0,0.0,0.12162162162162163,-11.627120218578632
