epoch,avg_loss,f1
1,1.9383927226066588,0.15356297734740745
2,1.6624218940734863,0.44350666418946755
3,1.176908826828003,0.7189641548045163
4,0.675616905093193,0.8326865073743492
5,0.3974179357290268,0.9035402312702783
6,0.25988805294036865,0.9542187107431198
7,0.13121399357914926,0.9800454523090832
8,0.07848470732569694,0.9948468479211187
9,0.06915517002344132,0.987980747792799
10,0.05203168839216232,0.9939831267845362
11,0.04823507983237505,0.9931640836796686
12,0.04102937411516905,0.9974533523111512
13,0.03771673087030649,0.9965565807958073
14,0.037153773941099644,0.9939957506902217
15,0.03516904190182686,0.9957178786654216
16,0.033974369242787364,0.9948511307173797
17,0.06595737561583519,0.9948359784175035
18,0.03284532148391008,0.9965614343609474
19,0.03304109703749418,0.9948490732074696
20,0.033177464827895166,0.9956920626889192
21,0.0305032791569829,0.9974269100974833
